opp_week,opp_TEAM,opp_OPP,opp_opp_points,opp_first_downs,opp_total_yds,opp_passing_yds,opp_rushing_yds,opp_penalty_cnt,opp_penalty_yds,opp_turnovers,opp_punt_cnt,opp_punt_yds,opp_punt_avg,opp_pos_time
1,ARI,STL,27,20,366,299,67,7,59,2,3,147,42,1715
2,ARI,DET,21,16,322,273,49,8,101,1,5,261,50,1721
3,ARI,NO,31,27,423,319,104,4,30,1,4,198,46,2131
4,ARI,TB,10,20,253,173,80,8,73,3,8,322,35,2045
5,ARI,CAR,6,21,353,258,95,9,79,4,4,195,39,1864
6,ARI,SF,32,20,387,238,149,4,35,2,6,288,42,2059
7,ARI,SEA,34,21,344,209,135,10,70,2,3,124,41,1660
8,ARI,ATL,13,20,292,265,27,10,55,4,4,183,47,2059
10,ARI,HOU,24,17,235,159,76,7,53,1,7,412,48,1732
11,ARI,JAC,14,14,274,242,32,6,40,2,8,382,45,1447
12,ARI,IND,11,15,239,159,80,6,89,1,5,223,40,1391
13,ARI,PHI,24,23,307,202,105,5,48,0,8,358,44,1766
14,ARI,STL,10,14,257,157,100,11,90,2,5,257,43,1493
15,ARI,TEN,34,32,460,394,66,3,16,3,3,145,48,2024
16,ARI,SEA,10,10,192,89,103,9,102,2,9,335,37,1356
17,ARI,SF,23,19,375,292,83,4,20,0,6,258,39,1660
1,ATL,NO,23,18,419,341,78,6,57,1,3,148,42,2111
2,ATL,STL,24,24,421,352,69,7,53,1,6,298,49,1783
3,ATL,MIA,27,16,285,195,90,2,13,2,3,159,52,1371
4,ATL,NE,30,21,448,316,132,9,93,0,2,110,42,1839
5,ATL,NYJ,30,15,288,170,118,6,24,0,3,140,39,1473
7,ATL,TB,23,23,337,226,111,11,103,1,5,188,34,2269
8,ATL,ARI,27,17,348,147,201,8,52,1,5,232,37,1541
9,ATL,CAR,34,27,373,242,131,2,15,2,3,128,37,2185
10,ATL,SEA,33,25,490,279,211,9,80,0,2,82,31,2130
11,ATL,TB,41,24,410,224,186,11,121,0,4,168,33,1994
12,ATL,NO,17,19,374,271,103,5,66,0,4,198,42,1574
13,ATL,BUF,31,18,405,210,195,6,49,2,7,299,39,1491
14,ATL,GB,22,20,334,222,112,2,10,2,3,142,45,2012
15,ATL,WAS,26,22,476,373,103,9,66,7,3,160,45,1568
16,ATL,SF,34,20,379,180,199,7,45,0,3,156,34,1772
17,ATL,CAR,21,16,283,149,134,4,38,2,6,292,40,1534
1,BAL,DEN,49,24,510,445,65,8,61,2,7,319,41,1572
2,BAL,CLE,6,13,259,194,65,5,33,0,8,336,32,1765
3,BAL,HOU,9,18,264,170,94,14,113,1,5,252,32,1836
4,BAL,BUF,23,19,350,147,203,11,99,3,8,346,37,2186
5,BAL,MIA,23,10,294,272,22,4,65,0,8,420,46,1424
6,BAL,GB,19,15,438,298,140,8,55,2,6,329,42,1882
7,BAL,PIT,19,17,286,145,141,7,50,1,1,36,24,1861
9,BAL,CLE,24,19,315,242,73,6,55,1,7,337,35,1850
10,BAL,CIN,17,21,364,244,120,9,134,3,6,223,34,2278
11,BAL,CHI,23,18,319,215,104,13,111,0,6,232,38,1838
12,BAL,NYJ,3,12,220,118,102,6,56,3,8,411,38,1555
13,BAL,PIT,20,22,329,257,72,4,51,0,4,174,39,1804
14,BAL,MIN,26,15,379,265,114,6,90,1,9,397,37,1668
15,BAL,DET,16,19,349,230,119,8,89,3,5,230,37,1945
16,BAL,NE,41,21,300,158,142,7,58,0,7,334,40,1918
17,BAL,CIN,34,21,392,281,111,10,76,4,3,108,35,2037
1,BUF,NE,23,26,431,273,158,4,36,3,6,236,36,2263
2,BUF,CAR,23,25,308,183,125,3,30,1,5,257,44,2021
3,BUF,NYJ,27,20,513,331,182,20,168,2,7,294,41,2053
4,BUF,BAL,20,15,345,321,24,8,59,5,7,331,42,1414
5,BUF,CLE,37,19,290,199,91,6,66,0,6,276,40,1943
6,BUF,CIN,27,26,483,318,165,8,78,1,5,206,39,2572
7,BUF,MIA,21,19,293,173,120,4,32,3,6,282,45,1788
8,BUF,NO,35,21,386,309,77,8,59,0,4,187,41,1950
9,BUF,KC,23,15,210,115,95,5,38,0,6,317,45,1786
10,BUF,PIT,23,19,300,164,136,6,42,1,5,195,36,2116
11,BUF,NYJ,14,12,267,133,134,4,24,4,6,284,41,1578
13,BUF,ATL,34,26,423,272,151,8,75,1,7,278,36,2289
14,BUF,TB,27,13,246,81,165,8,76,2,8,357,38,1910
15,BUF,JAC,20,22,354,195,159,6,80,4,3,136,44,1645
16,BUF,MIA,0,6,103,89,14,6,37,2,10,501,46,1409
17,BUF,NE,34,24,382,115,267,4,31,1,3,137,39,1967
1,CAR,SEA,12,18,370,300,70,9,109,1,4,198,47,1814
2,CAR,BUF,24,24,436,287,149,7,55,2,3,134,38,1579
3,CAR,NYG,0,10,150,90,60,6,45,3,6,245,39,1393
5,CAR,ARI,22,19,250,160,90,3,30,3,4,199,48,1736
6,CAR,MIN,10,17,290,215,75,5,55,2,4,199,44,1413
7,CAR,STL,15,15,317,254,63,8,68,3,4,159,40,1600
8,CAR,TB,13,19,297,249,48,3,21,1,5,215,42,1527
9,CAR,ATL,10,12,289,211,78,7,59,4,5,225,40,1415
10,CAR,SF,9,10,151,46,105,4,25,2,7,341,39,1677
11,CAR,NE,20,28,390,283,107,5,50,2,1,34,34,1846
12,CAR,MIA,16,13,332,280,52,6,55,1,6,291,38,1788
13,CAR,TB,6,10,206,140,66,4,30,2,4,190,41,1535
14,CAR,NO,31,24,373,304,69,5,45,0,4,177,36,1653
15,CAR,NYJ,20,19,297,140,157,3,20,1,4,132,26,1619
16,CAR,NO,13,20,365,239,126,4,40,2,7,340,43,2328
17,CAR,ATL,20,20,307,231,76,5,56,1,5,242,42,2066
1,CHI,CIN,21,18,340,277,63,8,84,3,4,193,48,1710
2,CHI,MIN,30,19,350,227,123,3,25,3,3,170,50,1766
3,CHI,PIT,23,21,459,379,80,6,59,5,2,59,30,1704
4,CHI,DET,40,23,387,228,159,3,25,3,3,150,38,1909
5,CHI,NO,26,17,347,281,66,2,10,0,4,195,40,2160
6,CHI,NYG,21,21,355,232,123,4,31,3,3,139,40,1625
7,CHI,WAS,45,28,499,290,209,5,47,1,5,218,27,2036
9,CHI,GB,20,17,312,113,199,0,0,1,6,250,38,1611
10,CHI,DET,21,21,364,219,145,5,51,1,4,178,41,1705
11,CHI,BAL,20,23,317,143,174,5,46,2,4,177,39,2141
12,CHI,STL,42,20,406,148,258,6,39,0,2,97,49,1431
13,CHI,MIN,23,28,496,250,246,6,60,1,6,264,43,2349
14,CHI,DAL,28,24,328,130,198,4,50,0,3,112,31,1396
15,CHI,CLE,31,20,366,273,93,9,90,2,5,211,38,1512
16,CHI,PHI,54,28,514,225,289,2,15,1,2,88,44,1820
17,CHI,GB,33,25,473,313,160,1,15,2,2,80,16,2109
1,CIN,CHI,24,17,323,242,81,4,59,1,5,232,40,1890
2,CIN,PIT,10,14,278,234,44,3,29,2,7,326,43,1466
3,CIN,GB,30,27,399,217,182,4,55,4,3,130,43,1911
4,CIN,CLE,17,18,336,247,89,5,80,0,5,214,40,1865
5,CIN,NE,6,15,248,166,82,0,0,2,8,353,42,1544
6,CIN,BUF,24,20,322,192,130,4,27,1,5,244,42,1524
7,CIN,DET,24,22,434,357,77,4,30,0,4,173,41,2071
8,CIN,NYJ,9,15,240,147,93,4,69,2,5,248,46,1997
9,CIN,MIA,22,15,345,188,157,2,25,1,8,391,43,1700
10,CIN,BAL,20,18,189,104,85,8,65,3,8,355,37,1895
11,CIN,CLE,20,15,330,228,102,5,40,4,7,231,24,1944
13,CIN,SD,10,19,334,243,91,5,45,3,4,157,38,1820
14,CIN,IND,28,21,389,326,63,6,47,0,7,333,37,1335
15,CIN,PIT,30,19,290,184,106,4,25,1,3,115,38,1896
16,CIN,MIN,14,10,209,94,115,5,40,4,5,197,34,1228
17,CIN,BAL,17,17,222,175,47,6,56,3,6,285,42,1563
1,CLE,MIA,23,18,275,255,20,10,77,1,5,269,48,1967
2,CLE,BAL,14,19,296,197,99,3,41,1,6,291,45,1835
3,CLE,MIN,27,21,329,195,134,4,35,3,7,325,44,1868
4,CLE,CIN,6,16,266,203,63,3,25,2,4,155,37,1735
5,CLE,BUF,24,20,343,188,155,7,56,1,8,364,23,1657
6,CLE,DET,31,24,366,248,118,8,65,1,5,229,48,2009
7,CLE,GB,31,26,357,253,104,10,97,0,3,90,30,2000
8,CLE,KC,23,20,331,195,136,5,31,0,5,240,44,2165
9,CLE,BAL,18,18,278,223,55,9,80,2,7,298,35,1750
11,CLE,CIN,41,10,224,118,106,8,64,2,9,408,40,1656
12,CLE,PIT,27,19,302,217,85,2,8,0,7,258,33,2019
13,CLE,JAC,32,22,314,202,112,5,35,1,7,306,34,1835
14,CLE,NE,27,30,484,397,87,6,41,2,5,200,40,1700
15,CLE,CHI,38,24,472,261,211,7,40,3,3,110,37,2088
16,CLE,NYJ,24,25,422,214,208,6,35,0,3,138,33,1952
17,CLE,PIT,20,17,292,172,120,2,15,2,4,167,32,1817
1,DAL,NYG,31,21,478,428,50,6,52,6,3,164,42,1370
2,DAL,KC,17,19,313,199,114,10,45,0,7,307,38,1693
3,DAL,STL,7,17,232,197,35,5,41,1,5,238,44,1592
4,DAL,SD,30,27,506,394,112,7,85,1,4,159,30,2043
5,DAL,DEN,51,34,517,414,103,5,55,2,0,0,0,1954
6,DAL,WAS,16,25,433,217,216,12,97,2,3,141,11,2072
7,DAL,PHI,3,19,278,194,84,5,33,3,9,419,42,1427
8,DAL,DET,31,29,623,480,143,8,61,4,4,203,40,2111
9,DAL,MIN,23,22,393,224,169,4,35,2,3,113,36,1887
10,DAL,NO,49,40,625,383,242,6,44,1,1,33,33,2372
12,DAL,NYG,21,22,356,154,202,11,81,1,5,273,52,1839
13,DAL,OAK,24,16,305,255,50,10,71,2,5,265,44,1661
14,DAL,CHI,45,33,490,341,149,2,15,0,0,0,0,2204
15,DAL,GB,37,26,434,283,151,7,59,1,4,197,43,1679
16,DAL,WAS,23,17,297,197,100,8,44,1,3,131,23,2027
17,DAL,PHI,24,21,366,229,137,6,50,1,5,237,44,1783
1,DEN,BAL,27,24,393,335,58,7,53,2,10,456,36,2028
2,DEN,NYG,23,28,376,353,23,4,16,4,5,231,22,1918
3,DEN,OAK,21,13,342,293,49,8,77,0,6,315,44,1476
4,DEN,PHI,20,21,450,284,166,8,62,0,5,191,25,1598
5,DEN,DAL,48,24,522,470,52,9,81,2,1,51,42,1646
6,DEN,JAC,19,20,362,291,71,7,62,2,3,135,45,1875
7,DEN,IND,39,19,334,213,121,6,52,1,9,440,47,1907
8,DEN,WAS,21,22,266,154,112,1,5,5,7,274,38,1680
10,DEN,SD,20,20,329,198,131,6,40,0,5,238,46,2283
11,DEN,KC,17,24,344,200,144,9,53,1,7,358,40,1807
