opp_week,opp_TEAM,opp_OPP,opp_opp_points,opp_first_downs,opp_total_yds,opp_passing_yds,opp_rushing_yds,opp_penalty_cnt,opp_penalty_yds,opp_turnovers,opp_punt_cnt,opp_punt_yds,opp_punt_avg,opp_pos_time
1,ARI,NO,19,18,408,354,54,7,73,1,4,171,39,2004
2,ARI,CHI,23,18,335,226,109,14,170,2,5,229,41,1796
3,ARI,SF,7,10,156,53,103,6,45,4,6,283,45,1408
4,ARI,STL,24,13,328,164,164,7,66,0,7,348,45,1607
5,ARI,DET,17,29,436,379,57,9,85,6,4,172,39,2192
6,ARI,PIT,25,14,310,169,141,6,48,0,5,238,39,1731
7,ARI,BAL,18,18,276,221,55,9,64,2,6,272,42,1824
8,ARI,CLE,20,16,254,215,39,7,35,2,6,299,42,1537
10,ARI,SEA,32,18,343,228,115,14,131,1,5,204,35,1268
11,ARI,CIN,31,24,377,278,99,10,108,1,5,243,44,1875
12,ARI,SF,13,17,368,301,67,13,81,2,4,166,38,1353
13,ARI,STL,3,9,212,146,66,7,104,1,8,436,48,1213
14,ARI,MIN,20,23,389,317,72,3,25,3,2,91,44,1681
15,ARI,PHI,17,19,424,350,74,5,38,4,3,147,47,1352
16,ARI,GB,8,16,178,77,101,7,59,4,6,268,43,1784
17,ARI,SEA,36,22,354,209,145,6,70,0,2,91,47,2197
1,ATL,PHI,24,23,399,336,63,10,88,2,5,226,38,1473
2,ATL,NYG,20,19,388,291,97,6,35,1,4,164,39,1705
3,ATL,DAL,28,23,347,220,127,5,31,1,4,159,40,1547
4,ATL,HOU,21,24,428,374,54,5,35,4,4,194,41,1448
5,ATL,WAS,19,18,270,219,51,5,51,2,4,201,47,1669
6,ATL,NO,31,25,385,304,81,3,15,0,4,175,34,1950
7,ATL,TEN,7,15,256,179,77,5,45,2,7,305,42,1515
8,ATL,TB,23,21,290,173,117,8,43,0,3,127,35,1811
9,ATL,SF,17,18,318,185,133,5,30,2,5,241,33,1672
11,ATL,IND,24,17,276,202,74,7,42,3,5,260,48,1959
12,ATL,MIN,20,24,365,174,191,9,53,1,2,95,39,2008
13,ATL,TB,23,25,388,222,166,8,53,2,3,112,30,1875
14,ATL,CAR,38,20,424,282,142,6,60,0,4,196,47,1881
15,ATL,JAC,17,21,357,285,72,5,62,1,6,254,39,1527
16,ATL,CAR,13,18,268,113,155,4,40,1,3,130,37,1462
17,ATL,NO,20,24,390,323,67,4,45,1,2,105,53,1774
1,BAL,DEN,19,16,219,150,69,8,45,1,5,259,45,2237
2,BAL,OAK,37,27,448,351,97,16,106,1,2,118,49,1773
3,BAL,CIN,28,23,458,372,86,9,67,2,3,164,43,1808
4,BAL,PIT,20,17,263,96,167,4,20,0,6,239,38,1929
5,BAL,CLE,33,25,505,422,83,9,74,0,5,217,37,2356
6,BAL,SF,25,15,391,326,65,4,25,0,4,152,31,1613
7,BAL,ARI,26,21,414,264,150,4,40,0,4,144,27,1776
8,BAL,SD,26,22,371,290,81,6,66,0,4,177,40,1806
10,BAL,JAC,22,22,257,167,90,4,30,1,7,364,41,1832
