opp_week,opp_TEAM,opp_OPP,opp_opp_points,opp_first_downs,opp_total_yds,opp_passing_yds,opp_rushing_yds,opp_penalty_cnt,opp_penalty_yds,opp_turnovers,opp_punt_cnt,opp_punt_yds,opp_punt_avg,opp_pos_time
1,ARI,DET,27,23,477,361,116,9,59,2,8,314,37,2363
2,ARI,BAL,23,26,440,258,182,10,62,0,3,129,43,2258
3,ARI,CAR,38,21,413,240,173,3,35,1,3,145,42,1696
4,ARI,SEA,27,21,340,225,115,7,65,0,4,171,43,2004
5,ARI,CIN,23,21,370,262,108,7,60,0,3,147,41,1737
6,ARI,ATL,33,31,444,341,103,8,72,0,3,130,42,1967
7,ARI,NYG,21,21,263,156,107,6,75,3,3,112,36,1801
8,ARI,NO,31,28,510,373,137,2,15,1,2,88,40,2279
9,ARI,SF,28,21,411,310,101,8,75,0,5,231,43,2071
10,ARI,TB,30,26,457,339,118,9,94,3,3,142,47,2163
11,ARI,SF,36,26,442,408,34,10,127,2,2,101,51,1717
13,ARI,LA,34,27,549,417,132,8,81,0,4,165,40,2077
14,ARI,PIT,23,20,275,135,140,4,20,2,2,96,34,1914
15,ARI,CLE,24,25,393,241,152,6,55,2,2,83,43,1849
16,ARI,SEA,13,13,224,133,91,7,55,1,7,313,39,1507
17,ARI,LA,31,25,424,311,113,10,91,0,4,156,34,2218
1,ATL,MIN,28,18,269,97,172,11,100,0,5,247,40,1787
2,ATL,PHI,20,18,286,237,49,7,60,3,4,209,49,1974
3,ATL,IND,27,29,379,300,79,4,39,0,1,53,43,1883
4,ATL,TEN,24,22,365,227,138,5,77,0,5,225,45,1759
5,ATL,HOU,53,31,592,426,166,9,89,1,1,35,35,1860
6,ATL,ARI,34,24,442,340,102,8,57,0,3,156,46,1633
7,ATL,LA,37,23,381,291,90,5,24,0,3,95,34,2229
8,ATL,SEA,27,18,322,171,151,9,60,0,4,199,48,1753
10,ATL,NO,9,18,310,258,52,12,90,0,4,192,40,1574
11,ATL,CAR,3,17,347,270,77,8,68,4,4,187,27,1714
12,ATL,TB,35,20,446,313,133,8,51,2,4,175,42,1702
13,ATL,NO,26,14,279,184,95,9,121,0,4,194,49,1463
14,ATL,CAR,20,27,345,245,100,7,44,4,4,185,43,1696
15,ATL,SF,22,20,313,193,120,7,67,2,4,184,41,1848
16,ATL,JAX,12,17,288,173,115,6,36,1,5,254,47,1613
17,ATL,TB,22,14,329,193,136,12,97,3,3,120,39,1425
1,BAL,MIA,10,12,200,179,21,9,64,3,6,322,49,1193
2,BAL,ARI,17,15,349,329,20,8,70,0,5,267,44,1342
3,BAL,KC,33,27,503,363,140,4,31,0,2,88,34,1636
4,BAL,CLE,40,22,530,337,193,6,41,1,3,127,38,1817
5,BAL,PIT,23,18,269,192,77,11,76,2,4,175,43,1534
6,BAL,CIN,17,18,250,217,33,4,20,1,5,201,39,1218
7,BAL,SEA,16,20,347,241,106,2,18,2,3,154,42,1806
9,BAL,NE,20,22,342,268,74,7,48,2,5,233,45,1379
10,BAL,CIN,13,21,307,150,157,1,5,3,1,53,45,2171
11,BAL,HOU,7,16,232,110,122,5,60,2,3,112,36,1421
12,BAL,LA,6,14,221,199,22,8,56,2,4,200,39,1204
13,BAL,SF,17,15,331,157,174,6,54,1,2,90,36,1654
14,BAL,BUF,17,16,209,105,104,5,49,1,7,300,40,1631
15,BAL,NYJ,21,13,310,207,103,8,94,2,4,204,49,1702
16,BAL,CLE,15,17,241,184,57,7,62,1,5,220,43,1541
17,BAL,PIT,10,10,168,77,91,6,47,2,5,244,44,1233
1,BUF,NYJ,16,17,223,155,68,8,67,1,7,304,42,1921
2,BUF,NYG,14,21,370,241,129,7,40,2,5,242,47,1642
3,BUF,CIN,17,17,306,240,66,8,54,4,6,243,40,1386
4,BUF,NE,16,11,224,150,74,8,58,1,9,435,43,1640
5,BUF,TEN,7,14,252,150,102,8,60,0,6,300,50,1728
7,BUF,MIA,21,24,381,272,109,6,55,2,4,196,39,2011
8,BUF,PHI,31,21,371,153,218,4,44,1,4,184,36,2157
9,BUF,WAS,9,12,243,116,127,3,15,0,5,172,34,1693
10,BUF,CLE,19,24,368,221,147,4,70,0,3,146,37,1906
11,BUF,MIA,20,19,303,280,23,6,44,1,6,262,40,1791
12,BUF,DEN,3,9,134,49,85,7,70,1,8,355,39,1496
13,BUF,DAL,15,32,426,323,103,5,66,2,2,81,41,1602
14,BUF,BAL,24,18,257,139,118,9,99,1,7,309,38,1969
15,BUF,PIT,10,15,229,178,51,6,30,5,5,215,41,1660
16,BUF,NE,24,23,414,271,143,3,30,1,2,93,38,2332
17,BUF,NYJ,13,18,271,185,86,2,13,1,5,214,42,1881
1,CAR,LA,30,22,349,183,166,5,43,1,4,144,23,1996
2,CAR,TB,20,16,289,189,100,12,66,0,6,295,43,2033
3,CAR,ARI,20,21,248,127,121,7,52,2,5,212,42,1904
4,CAR,HOU,10,18,264,128,136,7,81,2,5,257,51,1762
5,CAR,JAX,27,28,507,358,149,9,84,3,4,193,48,1944
6,CAR,TB,26,23,407,365,42,9,70,7,6,267,43,1730
8,CAR,SF,51,24,388,156,232,4,31,1,3,121,40,1981
9,CAR,TEN,20,24,431,310,121,11,99,3,3,139,43,1603
10,CAR,GB,24,23,388,225,163,10,64,0,4,141,35,1882
11,CAR,ATL,29,20,349,295,54,3,20,0,3,127,34,1886
12,CAR,NO,34,23,418,300,118,12,123,1,3,148,43,1707
13,CAR,WAS,29,20,362,114,248,6,65,0,5,290,47,1837
14,CAR,ATL,40,22,461,302,159,6,58,0,4,177,35,1904
15,CAR,SEA,30,21,428,274,154,5,40,1,4,165,41,1878
16,CAR,IND,38,25,324,106,218,0,0,0,3,140,41,1659
17,CAR,NO,42,25,379,264,115,3,44,0,6,283,47,2140
1,CHI,GB,10,13,213,166,47,10,71,0,9,428,44,1863
2,CHI,DEN,14,27,372,282,90,10,81,1,5,200,35,1979
3,CHI,WAS,15,25,356,287,69,9,61,5,1,48,45,1704
4,CHI,MIN,6,15,222,182,40,7,55,2,5,235,44,1473
5,CHI,OAK,24,25,398,229,169,6,69,2,4,170,20,2083
7,CHI,NO,36,24,424,273,151,4,35,0,4,169,41,2246
8,CHI,LAC,17,11,231,195,36,8,53,1,5,269,44,1320
9,CHI,PHI,22,26,373,227,146,8,75,0,5,245,42,2418
10,CHI,DET,13,21,357,259,98,8,76,1,6,243,39,1914
11,CHI,LA,17,13,283,173,110,6,34,2,6,329,45,1636
12,CHI,NYG,14,14,243,134,109,6,35,1,5,257,51,1609
13,CHI,DET,20,19,364,259,105,9,85,1,5,231,43,1750
14,CHI,DAL,24,22,408,326,82,6,52,0,5,224,38,1662
15,CHI,GB,21,12,292,192,100,4,30,0,7,250,33,1538
16,CHI,KC,26,25,350,244,106,9,71,0,2,93,38,2004
17,CHI,MIN,19,14,300,126,174,3,40,3,1,52,52,1340
1,CIN,SEA,21,12,232,160,72,8,55,1,8,376,43,1450
2,CIN,SF,41,27,571,312,259,9,75,1,2,75,38,1939
3,CIN,BUF,21,25,416,241,175,7,55,2,5,173,33,2214
4,CIN,PIT,27,20,326,260,66,4,37,1,2,99,40,1786
5,CIN,ARI,26,26,514,248,266,12,96,0,3,150,40,1863
6,CIN,BAL,23,26,497,228,269,10,81,1,2,84,32,2382
7,CIN,JAX,27,22,460,244,216,11,130,0,6,253,38,2297
8,CIN,LA,24,19,470,372,98,9,59,0,5,222,44,1637
10,CIN,BAL,49,20,379,243,136,5,35,1,1,34,34,1429
11,CIN,OAK,17,20,386,273,113,7,42,2,5,216,33,2122
12,CIN,PIT,16,16,338,179,159,10,77,1,7,317,43,2080
13,CIN,NYJ,6,15,271,209,62,10,106,0,6,249,41,1699
14,CIN,CLE,27,17,333,187,146,6,30,2,2,83,42,1529
15,CIN,NE,34,19,291,116,175,4,30,0,5,241,42,1629
16,CIN,MIA,38,29,502,406,96,6,47,1,6,294,42,2184
17,CIN,CLE,23,15,313,239,74,4,33,3,4,207,52,1519
1,CLE,TEN,43,21,339,216,123,6,54,0,6,277,43,1758
2,CLE,NYJ,3,13,262,169,93,12,89,1,7,329,40,1819
3,CLE,LA,20,20,344,254,90,7,49,3,2,79,40,1703
4,CLE,BAL,25,24,395,222,173,3,15,3,3,131,44,1783
5,CLE,SF,31,22,446,171,275,4,34,0,4,176,46,2263
6,CLE,SEA,32,29,454,284,170,10,65,1,4,156,33,2021
8,CLE,NE,27,19,318,239,79,4,32,0,5,227,41,1935
9,CLE,DEN,24,13,302,175,127,7,55,1,4,173,38,1470
10,CLE,BUF,16,20,344,260,84,7,40,0,4,199,50,1694
