opp_week,opp_TEAM,opp_OPP,opp_opp_points,opp_first_downs,opp_total_yds,opp_passing_yds,opp_rushing_yds,opp_penalty_cnt,opp_penalty_yds,opp_turnovers,opp_punt_cnt,opp_punt_yds,opp_punt_avg,opp_pos_time
10,CHI,DET,22,24,305,229,76,6,41,3,4,156,35,1920
11,CHI,MIN,20,19,268,246,22,4,50,3,4,178,42,1531
12,CHI,DET,16,17,333,222,111,5,54,2,5,227,36,1966
13,CHI,NYG,30,18,338,197,141,12,107,1,7,311,42,1993
14,CHI,LA,6,14,214,162,52,9,57,4,3,146,41,1391
15,CHI,GB,17,19,323,235,88,7,48,1,5,208,31,1777
16,CHI,SF,9,15,279,232,47,6,45,1,4,181,45,1470
17,CHI,MIN,10,12,164,101,63,3,30,0,5,257,52,1372
1,CIN,IND,23,24,380,305,75,7,91,2,2,95,48,1968
2,CIN,BAL,23,28,425,359,66,7,51,3,3,169,42,1690
3,CIN,CAR,31,23,377,147,230,3,17,0,4,165,39,2035
4,CIN,ATL,36,25,495,403,92,10,95,0,1,41,28,1762
5,CIN,MIA,17,17,297,169,128,9,85,3,5,209,38,1765
6,CIN,PIT,28,26,481,369,112,9,69,0,4,172,42,2096
7,CIN,KC,45,33,551,353,198,8,49,1,0,0,0,2023
8,CIN,TB,34,29,576,450,126,11,75,4,3,149,40,2159
10,CIN,NO,51,33,509,265,244,1,5,0,0,0,0,2386
11,CIN,BAL,24,23,403,136,267,5,31,1,4,157,28,2289
12,CIN,CLE,35,24,342,258,84,7,61,0,4,188,33,1924
13,CIN,DEN,24,16,361,143,218,7,60,1,6,260,43,1720
14,CIN,LAC,26,17,288,203,85,6,38,0,4,173,38,1642
15,CIN,OAK,16,13,297,229,68,8,90,2,6,229,38,1601
16,CIN,CLE,26,23,493,347,146,6,57,0,3,88,22,2131
17,CIN,PIT,16,18,343,278,65,9,70,1,5,189,38,2062
1,CLE,PIT,21,25,472,313,159,12,116,6,7,275,37,2112
2,CLE,NO,21,18,275,213,62,4,53,2,4,179,45,1961
3,CLE,NYJ,17,14,268,161,107,6,55,3,7,344,46,1748
4,CLE,OAK,45,27,565,426,139,6,65,2,6,267,40,2211
5,CLE,BAL,9,25,410,294,116,4,41,2,8,366,40,2022
6,CLE,LAC,38,24,449,203,246,10,72,1,5,208,31,1897
7,CLE,TB,26,34,456,342,114,8,65,4,4,187,30,2263
8,CLE,PIT,33,25,421,253,168,8,60,2,4,176,38,1932
9,CLE,KC,37,27,499,360,139,11,86,1,2,63,31,1749
10,CLE,ATL,16,25,382,311,71,1,5,2,3,118,37,1883
12,CLE,CIN,20,25,372,243,129,13,96,2,2,99,47,1676
13,CLE,HOU,29,25,384,197,187,5,77,0,3,114,38,2255
14,CLE,CAR,20,22,393,297,96,10,68,1,4,158,35,2030
15,CLE,DEN,16,22,270,238,32,8,51,2,3,124,38,1962
16,CLE,CIN,18,15,209,107,102,3,15,0,5,219,37,1469
17,CLE,BAL,26,24,463,167,296,10,65,1,4,196,38,2310
1,DAL,CAR,16,20,293,146,147,9,80,1,6,287,42,1836
2,DAL,NYG,13,17,255,220,35,3,24,1,6,260,40,1932
3,DAL,SEA,24,18,295,182,113,10,67,0,8,350,41,1964
4,DAL,DET,24,18,382,286,96,8,58,0,4,171,38,1795
5,DAL,HOU,19,25,462,374,88,5,25,2,3,160,39,2198
6,DAL,JAX,7,10,204,139,65,4,30,2,6,248,37,1270
7,DAL,WAS,20,15,305,175,130,5,35,0,6,227,36,1855
9,DAL,TEN,28,24,340,215,125,3,20,2,1,45,38,2066
10,DAL,PHI,20,23,421,350,71,0,0,1,2,88,44,1598
11,DAL,ATL,19,19,354,274,80,2,15,1,2,62,31,1683
12,DAL,WAS,23,18,331,251,80,4,25,3,5,228,46,1597
13,DAL,NO,10,14,176,111,65,5,48,1,4,206,45,1387
14,DAL,PHI,23,16,256,222,34,5,49,1,6,276,44,1352
15,DAL,IND,23,25,370,192,178,6,55,1,1,52,50,1908
16,DAL,TB,20,27,383,320,63,9,72,2,2,102,45,2119
17,DAL,NYG,35,20,441,298,143,11,78,2,2,94,47,1748
1,DEN,SEA,24,13,306,242,64,7,45,3,6,354,58,1492
2,DEN,OAK,19,21,373,281,92,4,30,0,4,189,42,1976
3,DEN,BAL,27,20,342,265,77,7,52,0,5,197,28,1814
4,DEN,KC,27,22,446,304,142,10,93,0,4,168,32,2102
5,DEN,NYJ,34,18,512,189,323,4,33,2,3,134,38,1734
6,DEN,LA,23,24,444,174,270,10,81,1,3,120,40,2110
7,DEN,ARI,10,14,223,154,69,7,45,5,6,304,47,1751
8,DEN,KC,30,20,340,291,49,7,50,1,5,196,33,1639
9,DEN,HOU,19,17,290,192,98,7,60,0,6,307,48,1945
11,DEN,LAC,22,26,479,384,95,14,120,2,2,78,39,2269
12,DEN,PIT,17,25,527,452,75,5,34,4,3,133,42,2100
13,DEN,CIN,10,20,313,202,111,12,100,3,7,303,40,1880
14,DEN,SF,20,24,389,305,84,11,87,1,5,210,34,1841
15,DEN,CLE,17,21,309,175,134,6,75,2,4,194,49,1638
16,DEN,OAK,27,16,273,159,114,6,50,0,5,225,45,1808
17,DEN,LAC,23,17,276,160,116,6,51,4,5,234,38,1692
1,DET,NYJ,48,18,349,180,169,7,49,2,3,112,37,1987
2,DET,SF,30,23,346,156,190,9,86,0,5,227,43,1774
3,DET,NE,10,12,209,120,89,5,38,1,5,217,38,1245
4,DET,DAL,26,26,414,231,183,2,20,0,2,78,39,1805
5,DET,GB,23,30,521,423,98,12,112,3,0,0,0,2000
7,DET,MIA,21,19,322,215,107,4,50,0,4,182,42,1581
8,DET,SEA,28,20,413,237,176,7,111,0,4,198,48,2095
9,DET,MIN,24,17,283,155,128,3,15,2,4,163,41,1395
10,DET,CHI,34,20,402,348,54,6,46,0,3,144,38,1680
11,DET,CAR,19,20,387,331,56,2,15,1,5,222,42,1700
12,DET,CHI,23,19,264,226,38,3,20,1,5,235,38,1634
13,DET,LA,30,24,344,195,149,7,105,2,3,151,44,1696
14,DET,ARI,3,22,279,218,61,8,83,1,6,299,45,1904
15,DET,BUF,14,20,312,195,117,3,20,0,6,245,36,1866
16,DET,MIN,27,16,340,240,100,11,78,0,6,288,45,1712
17,DET,GB,0,9,175,129,46,5,38,1,7,317,39,1386
1,GB,CHI,23,18,294,155,139,5,35,1,4,201,46,2002
2,GB,MIN,29,24,480,412,68,8,70,1,5,204,31,1912
3,GB,WAS,31,20,386,220,166,6,66,1,5,235,41,1745
4,GB,BUF,0,11,145,87,58,3,20,3,8,348,41,1523
5,GB,DET,31,18,264,170,94,8,71,0,5,228,45,1600
6,GB,SF,30,18,401,227,174,2,10,3,3,126,40,1732
8,GB,LA,29,23,416,281,135,2,15,0,7,316,43,2050
9,GB,NE,31,28,433,310,123,5,30,0,3,149,50,1646
10,GB,MIA,12,19,294,163,131,3,10,2,2,77,19,1928
11,GB,SEA,27,23,378,205,173,6,30,1,4,208,44,2058
12,GB,MIN,24,22,416,325,91,6,55,0,4,183,37,2077
13,GB,ARI,20,18,315,133,182,7,49,0,6,269,41,1654
14,GB,ATL,20,22,344,237,107,13,101,2,4,200,50,1849
15,GB,CHI,24,19,332,232,100,4,24,1,4,177,44,1823
16,GB,NYJ,38,23,370,323,47,16,172,0,4,176,44,1758
17,GB,DET,31,25,402,272,130,3,34,0,4,161,40,2214
1,HOU,NE,27,23,389,267,122,6,36,3,6,281,44,1870
2,HOU,TEN,20,15,283,183,100,8,70,0,5,261,47,1822
3,HOU,NYG,27,21,379,265,114,3,20,0,4,198,38,2130
4,HOU,IND,34,28,478,437,41,10,85,2,5,220,40,1796
5,HOU,DAL,16,14,292,194,98,7,72,2,5,220,34,1892
6,HOU,BUF,13,12,229,129,100,12,104,3,6,243,34,1980
7,HOU,JAX,7,15,259,189,70,2,15,3,6,274,39,1825
8,HOU,MIA,23,18,370,254,116,5,63,1,4,188,44,1869
9,HOU,DEN,17,19,348,273,75,8,50,1,5,236,44,1655
11,HOU,WAS,21,23,278,154,124,6,43,2,5,202,37,1857
12,HOU,TEN,17,14,365,260,105,7,50,1,6,298,44,1802
13,HOU,CLE,13,20,428,397,31,6,45,4,2,91,36,1345
14,HOU,IND,24,24,436,386,50,9,59,1,6,278,37,1683
15,HOU,NYJ,22,21,318,228,90,9,60,1,4,197,45,2104
16,HOU,PHI,32,25,519,462,57,11,105,3,2,96,34,2025
17,HOU,JAX,3,6,119,89,30,8,68,2,9,449,44,1493
1,IND,CIN,34,19,330,229,101,8,94,2,2,96,48,1632
2,IND,WAS,9,20,334,269,65,7,90,1,5,182,36,2000
3,IND,PHI,20,26,379,227,152,10,110,2,3,128,42,2412
4,IND,HOU,37,30,466,347,119,10,54,1,5,207,38,2404
5,IND,NE,38,26,438,341,97,7,50,2,4,193,39,1654
6,IND,NYJ,42,18,374,267,107,7,49,2,1,43,43,2222
7,IND,BUF,5,15,303,168,135,7,59,5,4,185,46,1601
8,IND,OAK,28,19,347,244,103,10,79,1,2,80,35,1410
10,IND,JAX,26,24,415,324,91,8,61,1,3,138,44,2110
11,IND,TEN,10,16,263,176,87,8,112,2,6,296,39,1724
