Week,Year,GID,FirstName,LastName,Pos,Team,h/a,Oppt,fd_points,fd_salary
14,2016,2777,Starks, James,RB,gnb,h,sea,0.3,5700
14,2016,2972,Carey, Ka'Deem,RB,chi,a,det,0.2,4500
14,2016,5406,Ripkowski, Aaron,RB,gnb,h,sea,0.2,4600
14,2016,2818,Rodgers, Jacquizz,RB,tam,h,nor,0,4600
14,2016,2825,Develin, James,RB,nwe,h,bal,0,4500
14,2016,5415,Burton, Michael,RB,det,h,chi,0,4500
14,2016,5484,Ferguson, Josh,RB,ind,h,hou,0,4500
14,2016,2912,Line, Zach,RB,min,a,jac,0,4500
14,2016,2840,Todman, Jordan,RB,ind,h,hou,0,4500
14,2016,5507,Barber, Peyton,RB,tam,h,nor,0,4500
14,2016,5487,Lasco, Daniel,RB,nor,a,tam,0,4500
14,2016,2892,Ellington, Andre,RB,ari,a,mia,0,4500
14,2016,2919,Reynolds, Chase,RB,lar,h,atl,0,4500
14,2016,2903,Taylor, Stepfan,RB,ari,a,mia,0,4500
14,2016,2940,Andrews, Antonio,RB,ten,h,den,0,4500
14,2016,2822,Sherman, Anthony,RB,kan,h,oak,0,4500
14,2016,2874,Bolden, Brandon,RB,nwe,h,bal,0,4500
14,2016,5449,Washington, DeAndre,RB,oak,a,kan,0,4500
14,2016,2647,Tolbert, Mike,RB,car,h,sdg,0,4500
14,2016,2802,Harris, DuJuan,RB,sfo,h,nyj,0,4700
14,2016,5504,Watt, Derek,RB,sdg,a,car,0,4500
14,2016,5492,Smith, Keith,RB,dal,a,nyg,0,4500
14,2016,5403,Nix, Roosevelt,RB,pit,a,buf,0,4500
14,2016,2624,Felton, Jerome,RB,buf,h,pit,0,4500
14,2016,2965,Thompson, Juwan,RB,den,a,ten,0,4500
14,2016,2978,Hewitt, Ryan,RB,cin,a,cle,0,4500
14,2016,2949,Atkinson, George,RB,cle,h,cin,0,4500
14,2016,2820,Jones, Taiwan,RB,oak,a,kan,0,4500
14,2016,2805,DiMarco, Patrick,RB,atl,a,lar,0,4500
14,2016,2692,Peerman, Cedric,RB,cin,a,cle,0,4500
14,2016,5413,Fowler, Jalston,RB,ten,h,den,0,4500
14,2016,5373,Lasike, Paul,RB,chi,a,det,0,4500
14,2016,2871,Morris, Alfred,RB,dal,a,nyg,0,4700
14,2016,2980,Prosch, Jay,RB,hou,a,ind,0,4500
14,2016,5441,Brown, Malcolm,RB,lar,h,atl,-0.6,4500
14,2016,5167,Hogan, Chris,WR,nwe,h,bal,22.1,5700
14,2016,5151,Hilton, T.Y.,WR,ind,h,hou,22,7600
14,2016,3983,Sanders, Emmanuel,WR,den,a,ten,21.5,5900
14,2016,5485,Hill, Tyreek,WR,kan,h,oak,19.8,6400
14,2016,3751,Nelson, Jordy,WR,gnb,h,sea,19.1,7100
14,2016,5409,Nelson, J.J.,WR,ari,a,mia,18.9,4900
14,2016,5212,Stills, Kenny,WR,mia,h,ari,18.7,5300
14,2016,5263,Adams, Davante,WR,gnb,h,sea,18.4,6400
14,2016,3770,Jackson, DeSean,WR,was,a,phi,17.7,5800
14,2016,3997,Thomas, Demaryius,WR,den,a,ten,17.6,6900
14,2016,5323,Beckham Jr., Odell,WR,nyg,h,dal,17.4,8500
14,2016,5417,Meredith, Cameron,WR,chi,a,det,16.2,5400
14,2016,5216,Williams, Terrance,WR,dal,a,nyg,16.1,4600
14,2016,5097,Inman, Dontrelle,WR,sdg,a,car,16.1,5500
14,2016,5361,Gabriel, Taylor,WR,atl,a,lar,15.7,5400
14,2016,3754,Garcon, Pierre,WR,was,a,phi,14.4,5400
14,2016,5502,Anderson, Robby,WR,nyj,a,sfo,14.1,4700
14,2016,5256,Lee, Marqise,WR,jac,h,min,13.8,5400
14,2016,5252,Watkins, Sammy,WR,buf,h,pit,13.4,6000
14,2016,3423,Boldin, Anquan,WR,det,h,chi,12.4,5200
14,2016,5199,Austin, Tavon,WR,lar,h,atl,12.4,4900
14,2016,5488,Mitchell, Malcolm,WR,nwe,h,bal,12.1,6200
14,2016,5333,Thielen, Adam,WR,min,a,jac,12.1,6000
14,2016,5455,Boyd, Tyler,WR,cin,a,cle,11.9,5700
14,2016,5254,Matthews, Jordan,WR,phi,h,was,11.9,5900
14,2016,3824,Britt, Kenny,WR,lar,h,atl,11.7,6900
14,2016,5505,McEvoy, Tanner,WR,sea,a,gnb,11.6,4500
14,2016,5287,Snead, Willie,WR,nor,a,tam,11.5,6100
14,2016,5070,Walters, Bryan,WR,jac,h,min,11.1,4500
14,2016,3826,Edelman, Julian,WR,nwe,h,bal,10.8,6600
14,2016,5335,Landry, Jarvis,WR,mia,h,ari,10.3,6100
14,2016,5381,Funchess, Devin,WR,car,h,sdg,10.3,4600
14,2016,3474,Brown, Antonio,WR,pit,a,buf,10.3,8800
14,2016,3995,Tate, Golden,WR,det,h,chi,8.7,6300
14,2016,5168,Jones, Marvin,WR,det,h,chi,8.7,5900
14,2016,5255,Cooks, Brandin,WR,nor,a,tam,8.6,6300
14,2016,5385,Conley, Chris,WR,kan,h,oak,8,4500
14,2016,5351,Janis, Jeff,WR,gnb,h,sea,7.9,4500
14,2016,5387,Hardy, Justin,WR,atl,a,lar,7.9,4600
14,2016,5432,Williams, Tyrell,WR,sdg,a,car,7.8,6800
14,2016,3328,Smith, Steve,WR,bal,a,nwe,7.7,6200
14,2016,3809,Wallace, Mike,WR,bal,a,nwe,7.7,6200
14,2016,5386,Lockett, Tyler,WR,sea,a,gnb,7.6,5100
