Name,Team,Pos,Wk,Opp,Year,Status,TeamScore,OppScore,PassYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgs,ReceivingYds,ReceivingTD,FL
Nick Vannett,DEN,TE,2,PIT,2020,0,21,26,0,0,0,0,0,0,0,0,0,2,0,0,0
Trayvon Henderson,CIN,FS,2,CLE,2020,0,30,35,0,0,0,0,0,0,0,0,0,0,0,0,0
Hunter Bradley,GB,LS,2,DET,2020,0,42,21,0,0,0,0,0,0,0,0,0,0,0,0,0
Zach Wood,NO,LS,2,LV,2020,0,24,34,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeff Heath,LV,SS,2,NO,2020,0,34,24,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Rudolph,MIN,TE,2,IND,2020,0,11,28,0,0,0,0,0,0,0,0,0,1,0,0,0
Nick Keizer,KC,TE,2,LAC,2020,0,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0
K.J. Osborn,MIN,WR,2,IND,2020,0,11,28,0,0,0,0,0,0,0,0,0,0,0,0,0
Cassh Maluia,NE,LB,2,SEA,2020,0,30,35,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohamed Sanu Sr.,SF,WR,2,NYJ,2020,0,31,13,0,0,0,0,0,0,0,0,0,0,0,0,0
Bruce Miller,JAX,FB,2,TEN,2020,0,30,33,0,0,0,0,0,0,0,0,0,1,0,0,0
Colin Thompson,CAR,TE,2,TB,2020,0,17,31,0,0,0,0,0,0,0,0,0,0,0,0,0
Trenton Cannon,CAR,RB,2,TB,2020,O,17,31,0,0,0,0,0,0,0,0,0,0,0,0,0
Antwaun Woods,DAL,DT,2,ATL,2020,0,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaylinn Hawkins,ATL,S,2,DAL,2020,0,39,40,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrick Laird,MIA,RB,2,BUF,2020,0,28,31,0,0,0,0,0,0,0,0,0,0,0,0,0
Trey Marshall,DEN,SS,2,PIT,2020,0,21,26,0,0,0,0,0,0,0,0,0,0,0,0,0
JoJo Natson,CLE,WR,2,CIN,2020,IR,35,30,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalen Reeves-Maybin,DET,OLB,2,GB,2020,0,21,42,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Conklin,MIN,TE,2,IND,2020,0,11,28,0,0,0,0,0,0,0,0,0,0,0,0,0
Keisean Nixon,LV,CB,2,NO,2020,0,34,24,0,0,0,0,0,0,0,0,0,0,0,0,0
Jachai Polite,LAR,OLB,2,PHI,2020,0,37,19,0,0,0,0,0,0,0,0,0,0,0,0,0
Natrez Patrick,LAR,OLB,2,PHI,2020,0,37,19,0,0,0,0,0,0,0,0,0,0,0,0,0
Ken Webster,SF,CB,2,NYJ,2020,0,31,13,0,0,0,0,0,0,0,0,0,0,0,0,0
Will Compton,TEN,ILB,2,JAX,2020,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Milton,TEN,CB,2,JAX,2020,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Minter,TB,ILB,2,CAR,2020,0,31,17,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Adams,TB,SS,2,CAR,2020,0,31,17,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameron Brate,TB,TE,2,CAR,2020,0,31,17,0,0,0,0,0,0,0,0,0,0,0,0,0
Mazzi Wilkins,TB,CB,2,CAR,2020,0,31,17,0,0,0,0,0,0,0,0,0,0,0,0,0
Darryl Johnson,BUF,DE,2,MIA,2020,0,31,28,0,0,0,0,0,0,0,0,0,0,0,0,0
Demetrius Harris,CHI,TE,2,NYG,2020,0,17,13,0,0,0,0,0,0,0,0,0,1,0,0,0
J.P. Holtz,CHI,TE,2,NYG,2020,0,17,13,0,0,0,0,0,0,0,0,0,0,0,0,0
Cethan Carter,CIN,TE,2,CLE,2020,0,30,35,0,0,0,0,0,0,0,0,0,0,0,0,0
Jason Cabinda,DET,ILB,2,GB,2020,0,21,42,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Lancaster,GB,DE,2,DET,2020,0,42,21,0,0,0,0,0,0,0,0,0,0,0,0,0
Ty Johnson,DET,RB,2,GB,2020,0,21,42,0,0,0,0,0,0,0,0,0,1,0,0,0
