Name,Team,Pos,Wk,Opp,Year,Status,TeamScore,OppScore,PassYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgs,ReceivingYds,ReceivingTD,FL
Taiwan Jones,BUF,RB,2,MIA,2020,0,31,28,0,0,0,0,0,0,0,0,0,0,0,0,0
De'Vante Bausby,DEN,CB,2,PIT,2020,0,21,26,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Highsmith,PIT,LB,2,DEN,2020,0,26,21,0,0,0,0,0,0,0,0,0,0,0,0,0
Casey Toohill,PHI,DE,2,LAR,2020,O,19,37,0,0,0,0,0,0,0,0,0,0,0,0,0
Morgan Cox,BAL,LS,2,HOU,2020,0,33,16,0,0,0,0,0,0,0,0,0,0,0,0,0
D.J. Foster,ARI,RB,2,WAS,2020,0,30,15,0,0,0,0,0,0,0,0,0,0,0,0,0
Elijhaa Penny,NYG,RB,2,CHI,2020,0,13,17,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Miller,CHI,WR,2,NYG,2020,0,17,13,0,0,0,0,0,0,0,0,0,3,0,0,0
Sean Davis,PIT,FS,2,DEN,2020,0,26,21,0,0,0,0,0,0,0,0,0,0,0,0,0
Olasunkanmi Adeniyi,PIT,OLB,2,DEN,2020,0,26,21,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Allen,PIT,FS,2,DEN,2020,D,26,21,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacob Bobenmoyer,DEN,LS,2,PIT,2020,0,21,26,0,0,0,0,0,0,0,0,0,0,0,0,0
DeMarcus Walker,DEN,DE,2,PIT,2020,IR,21,26,0,0,0,0,0,0,0,0,0,0,0,0,0
Diontae Spencer,DEN,WR,2,PIT,2020,0,21,26,0,0,0,0,0,0,0,0,0,0,0,0,0
Johnny Mundt,LAR,TE,2,PHI,2020,0,37,19,0,0,0,0,0,0,0,0,0,0,0,0,0
Alohi Gilman,LAC,S,2,KC,2020,0,20,23,0,0,0,0,0,0,0,0,0,0,0,0,0
Antonio Hamilton,KC,CB,2,LAC,2020,0,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Kemp,KC,WR,2,LAC,2020,0,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashtyn Davis,NYJ,S,2,SF,2020,O,13,31,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Adams,NYJ,RB,2,SF,2020,0,13,31,0,0,0,0,0,1,0,0,0,0,0,0,0
Derek Watt,PIT,FB,2,DEN,2020,Q,26,21,0,0,0,0,0,0,0,0,0,0,0,0,0
Troy Dye,MIN,LB,2,IND,2020,IR,11,28,0,0,0,0,0,0,0,0,0,0,0,0,0
Daurice Fountain,IND,WR,2,MIN,2020,0,28,11,0,0,0,0,0,0,0,0,0,0,0,0,0
Morgan Fox,LAR,DE,2,PHI,2020,0,37,19,0,0,0,0,0,0,0,0,0,0,0,0,0
Cre'Von LeBlanc,PHI,CB,2,LAR,2020,0,19,37,0,0,0,0,0,0,0,0,0,0,0,0,0
Corey Clement,PHI,RB,2,LAR,2020,0,19,37,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Richards,BAL,SS,2,HOU,2020,0,33,16,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Beck,DEN,TE,2,PIT,2020,0,21,26,0,0,0,0,0,0,0,0,0,0,0,0,0
Noah Togiai,IND,TE,2,MIN,2020,O,28,11,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Sherman,KC,FB,2,LAC,2020,0,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajaé Sharpe,MIN,WR,2,IND,2020,O,11,28,0,0,0,0,0,0,0,0,0,0,0,0,0
Danny Johnson,WAS,CB,2,ARI,2020,O,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0
Trevon Wesco,NYJ,TE,2,SF,2020,0,13,31,0,0,0,0,0,0,0,0,0,0,0,0,0
Mark Nzeocha,SF,OLB,2,NYJ,2020,IR,31,13,0,0,0,0,0,0,0,0,0,0,0,0,0
Kentavius Street,SF,DE,2,NYJ,2020,0,31,13,0,0,0,0,0,0,0,0,0,0,0,0,0
Cole Mazza,LAC,LS,2,KC,2020,0,20,23,0,0,0,0,0,0,0,0,0,0,0,0,0
Ty Long,LAC,K,2,KC,2020,0,20,23,0,0,0,0,0,0,0,0,0,0,0,0,0
Jon Weeks,HOU,LS,2,BAL,2020,0,16,33,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Anderson,WAS,OLB,2,ARI,2020,P,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0
Greg Stroman,WAS,CB,2,ARI,2020,0,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan Shepherd,NYJ,DE,2,SF,2020,O,13,31,0,0,0,0,0,0,0,0,0,0,0,0,0
George Odum,IND,FS,2,MIN,2020,0,28,11,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Barr,MIN,OLB,2,IND,2020,IR,11,28,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Watkins,HOU,DE,2,BAL,2020,0,16,33,0,0,0,0,0,0,0,0,0,0,0,0,0
Thomas Hennessy,NYJ,LS,2,SF,2020,0,13,31,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Kerrigan,WAS,DE,2,ARI,2020,0,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0
C.J. Prosise,HOU,RB,2,BAL,2020,0,16,33,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabe Nabers,LAC,FB,2,KC,2020,0,20,23,0,0,0,0,0,0,0,0,0,0,0,0,0
Tavon Wilson,IND,SS,2,MIN,2020,0,28,11,0,0,0,0,0,0,0,0,0,0,0,0,0
Braxton Hoyett,KC,NT,2,LAC,2020,0,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Sundberg,WAS,LS,2,ARI,2020,0,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0
K.J. Hill Jr.,LAC,WR,2,KC,2020,0,20,23,0,0,0,0,0,0,0,0,0,0,0,0,0
Darius Bradwell,LAC,RB,2,KC,2020,0,20,23,0,0,0,0,0,0,0,0,0,0,0,0,0
Virgil Green,LAC,TE,2,KC,2020,0,20,23,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Vigil,LAC,OLB,2,KC,2020,P,20,23,0,0,0,0,0,0,0,0,0,0,0,0,0
Luke Rhodes,IND,ILB,2,MIN,2020,0,28,11,0,0,0,0,0,0,0,0,0,0,0,0,0
Broderick Washington,BAL,DT,2,HOU,2020,0,33,16,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Cutting,MIN,LS,2,IND,2020,0,11,28,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Metellus,MIN,S,2,IND,2020,0,11,28,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Claybrooks,JAX,CB,2,TEN,2020,0,30,33,0,0,0,0,0,0,0,0,0,0,0,0,1
Ross Matiscik,JAX,LS,2,TEN,2020,0,30,33,0,0,0,0,0,0,0,0,0,0,0,0,0
Armani Watts,KC,FS,2,LAC,2020,0,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Levine Sr.,BAL,SS,2,HOU,2020,P,33,16,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Zylstra,CAR,WR,2,TB,2020,0,17,31,0,0,0,0,0,0,0,0,0,0,0,0,0
Ke'Shawn Vaughn,TB,RB,2,CAR,2020,0,31,17,0,0,0,0,0,0,0,0,0,0,0,0,0
Sidney Jones,JAX,CB,2,TEN,2020,0,30,33,0,0,0,0,0,0,0,0,0,0,0,0,0
Curtis Riley,ARI,FS,2,WAS,2020,0,30,15,0,0,0,0,0,0,0,0,0,0,0,0,0
Myles Hartsfield,CAR,CB,2,TB,2020,0,17,31,0,0,0,0,0,0,0,0,0,0,0,0,0
Seth Roberts,CAR,WR,2,TB,2020,0,17,31,0,0,0,0,0,0,0,0,0,0,0,0,0
Khaleke Hudson,WAS,LB,2,ARI,2020,0,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0
Charles Washington,ARI,FS,2,WAS,2020,0,30,15,0,0,0,0,0,0,0,0,0,0,0,0,0
Beau Brinkley,TEN,LS,2,JAX,2020,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0
Tavon Young,BAL,CB,2,HOU,2020,IR,33,16,0,0,0,0,0,0,0,0,0,0,0,0,0
Rashard Lawrence,ARI,DT,2,WAS,2020,0,30,15,0,0,0,0,0,0,0,0,0,0,0,0,0
Kalif Raymond,TEN,WR,2,JAX,2020,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Dickerson,TEN,DE,2,JAX,2020,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0
Cam Sims,WAS,WR,2,ARI,2020,0,15,30,0,0,0,0,0,0,0,0,0,1,0,0,0
Joshua Kalu,TEN,FS,2,JAX,2020,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0
J.J. Jansen,CAR,LS,2,TB,2020,0,17,31,0,0,0,0,0,0,0,0,0,0,0,0,0
Kamalei Correa,TEN,OLB,2,JAX,2020,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0
Otaro Alaka,BAL,OLB,2,HOU,2020,0,33,16,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeremy Sprinkle,WAS,TE,2,ARI,2020,0,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Thomas,ARI,TE,2,WAS,2020,0,30,15,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanner Hudson,TB,TE,2,CAR,2020,0,31,17,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Ellefson,JAX,TE,2,TEN,2020,0,30,33,0,0,0,0,0,0,0,0,0,0,0,0,0
Will Fuller V,HOU,WR,2,BAL,2020,0,16,33,0,0,0,0,0,1,0,0,0,0,0,0,0
Trent Sherfield,ARI,WR,2,WAS,2020,0,30,15,0,0,0,0,0,0,0,0,0,0,0,0,0
Khari Blasingame,TEN,RB,2,JAX,2020,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0
Dakota Allen,JAX,OLB,2,TEN,2020,0,30,33,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaylon Ferguson,BAL,OLB,2,HOU,2020,0,33,16,0,0,0,0,0,0,0,0,0,0,0,0,0
David Long,TEN,ILB,2,JAX,2020,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Streveler,ARI,QB,2,WAS,2020,0,30,15,0,0,0,0,0,0,0,0,0,0,0,0,0
Dare Ogunbowale,JAX,RB,2,TEN,2020,0,30,33,0,0,0,0,0,0,0,0,0,0,0,0,0
Deionte Thompson,ARI,SS,2,WAS,2020,0,30,15,0,0,0,0,0,0,0,0,0,0,0,0,0
Zach Triner,TB,LS,2,CAR,2020,0,31,17,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Edwards,TB,FS,2,CAR,2020,0,31,17,0,0,0,0,0,0,0,0,0,0,0,0,0
Pharoh Cooper,CAR,WR,2,TB,2020,0,17,31,0,0,0,0,0,0,0,0,0,0,0,0,1
DeAndre Carter,HOU,WR,2,BAL,2020,0,16,33,0,0,0,0,0,0,0,0,0,0,0,0,0
Angelo Blackson,ARI,DE,2,WAS,2020,0,30,15,0,0,0,0,0,0,0,0,0,0,0,0,0
James Proche II,BAL,WR,2,HOU,2020,0,33,16,0,0,0,0,0,0,0,0,0,0,0,0,0
Kylie Fitts,ARI,OLB,2,WAS,2020,0,30,15,0,0,0,0,0,0,0,0,0,0,0,0,0
Cullen Gillaspia,HOU,FB,2,BAL,2020,O,16,33,0,0,0,0,0,0,0,0,0,0,0,0,0
Collin Johnson,JAX,WR,2,TEN,2020,0,30,33,0,0,0,0,0,0,0,0,0,3,0,0,0
Tanner Vallejo,ARI,ILB,2,WAS,2020,P,30,15,0,0,0,0,0,0,0,0,0,0,0,0,0
Buddy Howell,HOU,RB,2,BAL,2020,0,16,33,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyril Grayson,TB,WR,2,CAR,2020,0,31,17,0,0,0,0,0,0,0,0,0,1,0,0,0
Patrick O'Connor,TB,DE,2,CAR,2020,0,31,17,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam Franklin Jr.,CAR,LB,2,TB,2020,0,17,31,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Smith,TB,CB,2,CAR,2020,0,31,17,0,0,0,0,0,0,0,0,0,0,0,0,0
Rob Gronkowski,TB,TE,2,CAR,2020,0,31,17,0,0,0,0,0,0,0,0,0,1,0,0,0
Jermaine Carter,CAR,ILB,2,TB,2020,0,17,31,0,0,0,0,0,0,0,0,0,0,0,0,0
Quinton Bell,TB,OLB,2,CAR,2020,0,31,17,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacksonville Jaguars,JAX,DST,2,TEN,2020,0,30,33,0,0,0,0,0,0,0,0,0,0,0,0,0
Tim Boyle,GB,QB,2,DET,2020,0,42,21,0,0,0,0,0,2,-1,0,0,0,0,0,0
J.J. Taylor,NE,RB,2,SEA,2020,0,30,35,0,0,0,0,0,1,-1,0,0,0,0,0,0
Benny Snell Jr.,PIT,RB,2,DEN,2020,0,26,21,0,0,0,0,0,3,5,0,1,1,-4,0,1
Philadelphia Eagles,PHI,DST,2,LAR,2020,0,19,37,0,0,0,0,0,0,0,0,0,0,0,0,0
Drew Lock,DEN,QB,2,PIT,2020,O,21,26,20,0,0,5,1,0,0,0,0,0,0,0,1
Kirk Cousins,MIN,QB,2,IND,2020,0,11,28,113,0,0,26,11,0,0,0,0,0,0,0,0
Cincinnati Bengals,CIN,DST,2,CLE,2020,0,30,35,0,0,1,0,0,0,0,0,0,0,0,0,0
Dallas Cowboys,DAL,DST,2,ATL,2020,0,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0
Detroit Lions,DET,DST,2,GB,2020,0,21,42,0,0,0,0,0,0,0,0,0,0,0,0,0
